pmid	title	journal
32315732	Virtual Visits for Care of Patients with Heart Failure in the Era of COVID-19: A Statement from the Heart Failure Society of America.	J Card Fail
32315725	"Suppressed T cell-mediated immunity in patients with COVID-19: a clinical retrospective study in Wuhan, China."	J Infect
32315724	Viral dynamics of SARS-CoV-2 across a spectrum of disease severity in COVID-19.	J Infect
32315723	The epidemiological and clinical features of COVID-19 and lessons from this global infectious public health event.	J Infect
32315667	Put a lid on it: Are faecal bio-aerosols a route of transmission for SARS-CoV-2?	J Hosp Infect
32315626	Probable Pangolin Origin of SARS-CoV-2 Associated with the COVID-19 Outbreak.	Curr Biol
32315614	Laboratory data analysis of novel coronavirus (COVID-19) screening in 2510 patients.	Clin Chim Acta
32315600	Re: Ventilation-Perfusion Scans During the Coronavirus Disease 2019 (COVID-19) Outbreak.	J Am Coll Radiol
32315599	Academic Radiology Departmental Operational Strategy Related to the Coronavirus Disease 2019 (COVID-19) Pandemic.	J Am Coll Radiol
32315559	Protecting older people from COVID-19: should the United Kingdom start at age 60?	J R Soc Med
32315548	A Call for Rational Intensive Care in the Era of COVID-19.	Am J Respir Cell Mol Biol
32315543	An Asymptomatic Patient Infected with Coronavirus Disease 2019.	Am J Respir Crit Care Med
32315487	Clinical and Autoimmune Characteristics of Severe and Critical Cases with COVID-19.	Clin Transl Sci
32315451	Barriers and facilitators to healthcare workers' adherence with infection prevention and control (IPC) guidelines for respiratory infectious diseases: a rapid qualitative evidence synthesis.	Cochrane Database Syst Rev
32315429	Eosinophil count in severe coronavirus disease 2019 (COVID-19).	QJM
32315421	Response letter to Eosinophil count in severe coronavirus disease 2019 (COVID-19).	QJM
32315390	Rapid detection of COVID-19 coronavirus using a reverse transcriptional loop-mediated isothermal amplification (RT-LAMP) diagnostic platform.	Clin Chem
32315386	Atypical presentation of COVID-19 in a frail older person.	Age Ageing
32315380	Annals for Hospitalists Inpatient Notes - Preparing for Battle: How Hospitalists Can Manage the Stress of COVID-19.	Ann Intern Med
32315282	Estimation of Coronavirus Disease Case-Fatality Risk in Real Time.	Emerg Infect Dis
32315281	Possible Bat Origin of Severe Acute Respiratory Syndrome Coronavirus 2.	Emerg Infect Dis
32315263	Telemedicine in the Time of the Coronavirus.	Telemed J E Health
32315261	Information Overload: A Method to Share Updates among Frontline Staff during the COVID-19 Pandemic.	Otolaryngol Head Neck Surg
32315256	"Introduction: A New Coronavirus Emerges, This Time Causing a Pandemic."	Annu Rev Virol
32315253	Family Member Visits to Critically Ill Patients During COVID-19: A New Pathway (Telemed J E Health 2020. [Epub ahead of print]; DOI: 10.1089/tmj.2020.29040.rb).	Telemed J E Health
32315244	The Technique and Justification for Minimally Invasive Surgery in COVID-19 Pandemic: Laparoscopic Anterior Resection for Near Obstructed Rectal Carcinoma.	J Laparoendosc Adv Surg Tech A
32315229	COVID-19 and the CRISPR Community Response.	CRISPR J
32315205	The Obstacle Course of Reperfusion for STEMI in the COVID-19 Pandemics.	Circulation
32315203	Lessons learned from COVID-19 epidemic in Iran: The role of medical education.	Med Teach
32315201	Mobilization and Preparation of a Large Urban Academic Center During the COVID-19 Pandemic.	Ann Am Thorac Soc
32315171	Fast Identification of Possible Drug Treatment of Coronavirus Disease -19 (COVID-19) Through Computational Drug Repurposing Study.	J Chem Inf Model
32315124	Is COVID-19 the first pandemic that evolves into a panzootic?	Vet Ital
32315122	COVID-19 in a High-Risk Dual Heart and Kidney Transplant Recipient.	Am J Transplant
32315113	Managing a tertiary-level NICU in the time of COVID-19: Lessons learned from a high-risk zone.	Pediatr Pulmonol
32315082	"capital PE, Cyrillicpasmall ve, Cyrillica small de, Cyrillicesmall te, Cyrillicesmall short i, Cyrillic-small i, Cyrillicsmall en, Cyrillicsmall ve, Cyrillicasmall el, Cyrillicsmall i, Cyrillicsmall de, Cyrillicosmall ve, Cyrillic small ve, Cyrillic small che, Cyrillicpesmall ze, Cyrillicsmall ve, Cyrillicsmall yeru, Cyrillicsmall che, Cyrillicasmall short i, Cyrillicsmall en, Cyrillicsmall yeru, Cyrillicx csmall i, Cyrillicsmall te, Cyrillicyasmall tse, Cyrillicsmall i, Cyrillicsmall ya, Cyrillicx small ve, Cyrillic osmall be, Cyrillicsmall el, Cyrillicacsmall te, Cyrillicsmall i, Cyrillic small ze, Cyrillicsmall de, Cyrillicpasmall ve, Cyrillicooxpasmall en, Cyrillicesmall en, Cyrillicsmall i, Cyrillicsmall ya, Cyrillic: small pe, Cyrillicposmall be, Cyrillicsmall el, Cyrillicesmall em, Cyrillica COVID-19."	Dev Med Child Neurol
32315079	Varicella-like exanthem associated with COVID-19 in an 8-year-old girl: A diagnostic clue?	Pediatr Dermatol
32315076	Participant and Caregiver Perspectives on Clinical Research During Covid-19 Pandemic.	J Am Geriatr Soc
32315075	"COVID-19, Postacute Care Preparedness, and Nursing Homes."	J Am Geriatr Soc
32315073	"Cutaneous Clinico-Pathological Findings in three COVID-19-Positive Patients Observed in the Metropolitan Area of Milan, Italy."	Acta Derm Venereol
32315031	"Letter to the Editor: ""Our Response to COVID-19 as Endocrinologists and Diabetologists""."	J Clin Endocrinol Metab
32315026	Responding to the COVID-19 outbreak in Singapore: Staff Protection and Staff Temperature and Sickness Surveillance Systems.	Clin Infect Dis
32315025	After the COVID-19 Pandemic: The Next Wave of Health Challenges for Older Adults.	J Gerontol A Biol Sci Med Sci
32314976	Chinese Public Attention to COVID-19 Epidemic: Based on Social Media.	J Med Internet Res
32314954	COVID-19 Community Stabilization and Sustainability Framework: An Integration of the Maslow Hierarchy of Needs and Social Determinants of Health.	Disaster Med Public Health Prep
32314953	Public Health and COVID-19: From Response to Recovery.	Disaster Med Public Health Prep
32314952	Public health decision-making in the real world: Four points to reshape it after COVID-19.	Disaster Med Public Health Prep
32314951	Opioid use disorder and the COVID 19 pandemic: A call to sustain regulatory easements and further expand access to treatment.	Subst Abus
32314950	Society for Vascular Medicine (SVM) Leaders Respond to the COVID-19 Crisis.	Vasc Med
32314881	[Strategy of dental clinics to cope with the epidemic period of infectious diseases based on the experience of corona virus disease outbreak].	Hua Xi Kou Qiang Yi Xue Za Zhi
32314871	Targeting the Adipose Tissue in COVID-19.	Obesity (Silver Spring)
32314868	"Is Adipose Tissue a Reservoir for Viral Spread, Immune Activation and Cytokine Amplification in COVID-19."	Obesity (Silver Spring)
32314861	Obesity is associated with severe forms of COVID-19.	Obesity (Silver Spring)
32314850	"Melatonin: Roles in influenza, Covid-19, and other viral infections."	Rev Med Virol
32314819	An effective screening and management process in the outpatient clinic for patients requiring hospitalization during the COVID-19 pandemic.	J Med Virol
32314811	Understanding evolution of SARS-CoV-2: a perspective from analysis of genetic diversity of RdRp gene.	J Med Virol
32314810	Central Nervous System Involvement by Severe Acute Respiratory Syndrome Coronavirus -2 (SARS-CoV-2).	J Med Virol
32314808	"Comment on Li et al.: COVID-19 patients' clinical characteristics, discharge rate, and fatality rate of meta-analysis."	J Med Virol
32314806	Psychological stress of medical staffs during outbreak of COVID-19 and adjustment strategy.	J Med Virol
32314805	"CT imaging features of 4,121 patients with COVID-19: a meta-analysis."	J Med Virol
32314804	"Epidemiological trends of COVID-19 epidemic in Italy during March 2020. From 1,000 to 100,000 cases."	J Med Virol
32314799	Letter to the Editor: Acute hypertriglyceridemia in patients with COVID-19 receiving tocilizumab.	J Med Virol
32314798	COVID-19 Infection in Patients with Sickle Cell Disease.	Br J Haematol
32314792	"Challenges in the Care of IBD Patients During the CoViD-19 Pandemic: Report From a ""Red Zone"" Area in Northern Italy."	Inflamm Bowel Dis
32314790	What's New With the Old Coronaviruses?	J Pediatric Infect Dis Soc
32314784	A Frail Health Care System for an Old Population: Lesson form the COVID-19 Outbreak in Italy.	J Gerontol A Biol Sci Med Sci
32314729	Dilemmas and Priorities in the Neonatal Intensive Care Unit during the COVID-19 Pandemic.	Dan Med J
32314704	Ivermectin and Novel Coronavirus Disease (COVID-19): Keeping Rigor in Times of Urgency.	Am J Trop Med Hyg
32314701	The Pandemic of Hate Is Giving Novel Coronavirus Disease (COVID-19) a Helping Hand.	Am J Trop Med Hyg
32314700	Reflections on Resilience during the Novel Coronavirus Disease (COVID-19) Pandemic: Six Lessons from Working in Resource-Denied Settings.	Am J Trop Med Hyg
32314699	Case Report: The Importance of Novel Coronavirus Disease (COVID-19) and Coinfection with Other Respiratory Pathogens in the Current Pandemic.	Am J Trop Med Hyg
32314698	Case Report: Hepatotoxicity Associated with the Use of Hydroxychloroquine in a Patient with Novel Coronavirus Disease (COVID-19).	Am J Trop Med Hyg
32314697	Global Health: Time to Refocus while We still Have Time.	Am J Trop Med Hyg
32314685	Case Report: The First Case of Novel Coronavirus Disease (COVID-19) in Bhutan.	Am J Trop Med Hyg
32314596	Challenges in Heart Transplantation in the Era of COVID-19.	Circulation
32314563	Responding to COVID-19: Perspectives from the Chinese Society of Gastroenterology.	Gastroenterology
32314559	Zoonotic origins of human coronavirus 2019 (HCoV-19): why is this work important?	Zool Res
32314551	Transplant programmes during COVID-19: Unintended consequences for health inequality.	Am J Transplant
32314538	Why is Coronavirus Disease 2019 not as severe in children?-A look at type 2 alveolar cells.	Pediatr Pulmonol
32314527	"COVID-19: Leaving Lockdown - Of Schrodinger, Cats, Testing and Masks."	Int J Clin Pract
32314526	Family violence and COVID-19: Increased vulnerability and reduced options for support.	Int J Ment Health Nurs
32314503	Obesity and SARS-CoV-2: a population to safeguard.	Diabetes Metab Res Rev
32314492	"Doxycycline, a widely used antibiotic in dermatology with a possible anti-inflammatory action against IL-6 in COVID-19 outbreak."	Dermatol Ther
32314483	COVID-19 and psoriasis : should we fear for patients treated with biologics?	Dermatol Ther
32314460	Challenges of Covid-19 Pandemic for Dermatology.	Dermatol Ther
32314455	COVID-19 infection may cause ketosis and ketoacidosis.	Diabetes Obes Metab
32314436	"Comment on ""Cutaneous manifestations in COVID-19: a first perspective "" by Recalcati S."	J Eur Acad Dermatol Venereol
32314345	Response of a tertiary dermatology department to COVID-19.	Australas J Dermatol
32314329	[ACE2 and coronavirus - a question of balance and dynamics?]	Lakartidningen
32314322	COVID-19 and the eye immunity: lesson learned from the past and possible new therapeutic insights.	Int Ophthalmol
32314313	Is COVID-19 a proteiform disease inducing also molecular mimicry phenomena?	Cell Stress Chaperones
32314274	Clinical Manifestation and Laboratory Characteristics of SARS-CoV-2 Infection in Pregnant Women.	Virol Sin
32314264	Safe(r) transesophageal echocardiography and COVID-19.	Can J Anaesth
32314249	Bariatric Surgical Practice During the Initial Phase of COVID-19 Outbreak.	Obes Surg
32314235	"Practical Implications of Novel Coronavirus COVID-19 on Hospital Operations, Board Certification, and Medical Education in Surgery in the USA."	J Gastrointest Surg
32314130	We Can't Just Wash Our Hands: a Primary Care Physician's Thoughts on COVID-19 and Her Community.	J Gen Intern Med
32314129	A Case Series of Recurrent Viral RNA Positivity in Recovered COVID-19 Chinese Patients.	J Gen Intern Med
32314081	Pharmacologic Therapy for COVID-19 Infection.	J Community Health
32314059	The impact of COVID-19 on neurosurgeons and the strategy for triaging non-emergent operations: a global neurosurgery study.	Acta Neurochir (Wien)
32314058	COVID-19 patients and the radiology department - advice from the European Society of Radiology (ESR) and the European Society of Thoracic Imaging (ESTI).	Eur Radiol
32314050	Recommendation of a practical guideline for safe tracheostomy during the COVID-19 pandemic.	Eur Arch Otorhinolaryngol
32314034	Sustainable practice of ophthalmology during COVID-19: challenges and solutions.	Graefes Arch Clin Exp Ophthalmol
32314033	Practical experience on emergency ophthalmic surgery during the prevalence of COVID-19.	Graefes Arch Clin Exp Ophthalmol
32314010	Coronavirus Disease 19 (COVID-19) complicated with pneumonia in a patient with rheumatoid arthritis receiving conventional disease-modifying antirheumatic drugs.	Rheumatol Int
32313971	Ventilation of COVID-19 patients in intensive care units.	Herz
32313969	Personal reflections of an emergency general surgeon on the COVID-19 pandemic.	Eur J Trauma Emerg Surg
32313886	Medically unexplained symptoms in the times of Covid-19 pandemic: a case-report.	Brain Behav Immun Health
32313885	COVID-19 Clinical Trials: A Primer for the Cardiovascular and Cardio-Oncology Communities.	JACC CardioOncol
32313884	COVID-19 complicated by Acute Pulmonary Embolism and Right-Sided Heart Failure.	JACC Case Rep
32313883	Inhaled biguanides and mTOR inhibition for influenza and coronavirus (Review).	World Acad Sci J
32313880	PAK1-blockers: Potential Therapeutics against COVID-19.	Med Drug Discov
32313879	What are the Underlying Transmission Patterns of COVID-19 Outbreak? - An Age-specific Social Contact Characterization.	EClinicalMedicine
32313877	COVID-19 Epidemic and Enhancing China's National Biosecurity System.	J Biosaf Biosecur
32313873	How to manage lymphoid malignancies during novel 2019 coronavirus (CoVid-19) outbreak: a Brazilian task force recommendation.	Hematol Transfus Cell Ther
32313872	COVID-19 convalescent plasma transfusion.	Hematol Transfus Cell Ther
32313848	Precision medicine in COVID-19: IL-1beta a potential target.	JACC Basic Transl Sci
32313847	Time to 'Buddy Up' - Simple Strategies to Support Oncologists During the Covid-19 Pandemic.	Adv Radiat Oncol
32313846	Fear in the age of COVID-19.	Adv Radiat Oncol
32313845	"Radiation Therapy in King County, Washington During the COVID-19 Pandemic: Balancing Patient Care, Transmission Mitigation, and Resident Training."	Adv Radiat Oncol
32313844	A rapid transition to voluntary breath hold from device-assisted moderate deep inspiration breath hold for patients receiving breast radiotherapy during the COVID-19 pandemic.	Adv Radiat Oncol
32313828	"A ""One-Health"" approach for diagnosis and molecular characterization of SARS-CoV-2 in Italy."	One Health
32313826	Morbilliform Exanthem Associated with COVID-19.	JAAD Case Rep
32313825	"Coronavirus threat to Indian population: risk factors, transmission dynamics and preparedness to prevent the spread of the virus."	Virusdisease
32313824	"Coronavirus as silent killer: recent advancement to pathogenesis, therapeutic strategy and future perspectives."	Virusdisease
32313823	One month of the novel coronavirus 2019 outbreak: Is it still a threat?	Virusdisease
32313822	Recent apprise on coronavirus and its terrible insinuations.	Virusdisease
32313807	Guillain-Barre Syndrome associated with SARS-CoV-2 infection.	IDCases
32313806	2019 Novel coronavirus (COVID-19) overview.	Z Gesundh Wiss
32313804	Tracing New Clinical Manifestations in Patients with COVID-19 in Chile and Its Potential Relationship with the SARS-CoV-2 Divergence.	Curr Trop Med Rep
32313785	A Review of Salivary Diagnostics and Its Potential Implication in Detection of Covid-19.	Cureus
32313784	"Changes in Subway Ridership in Response to COVID-19 in Seoul, South Korea: Implications for Social Distancing."	Cureus
32313754	An Epidemiological Study on COVID-19: A Rapidly Spreading Disease.	Cureus
32313713	Optimization of the intravenous infusion workflow in the isolation ward for patients with coronavirus disease 2019.	Int J Nurs Sci
32313712	"Anosmia, hyposmia, and dysgeusia as indicators for positive SARS-CoV-2 infection."	World J Otorhinolaryngol Head Neck Surg
32313668	COVID-19: A new digital dawn?	Digit Health
32313662	Veno-venous extracorporeal membrane oxygenation for severe pneumonia: COVID-19 case in Japan.	Acute Med Surg
32313661	COVID-19 first stage in Japan - how we treat 'Diamond Princess Cruise Ship' with 3700 passengers?	Acute Med Surg
32313660	A short review on antibody therapy for COVID-19.	New Microbes New Infect
32313613	COVID-19 in Singapore and Malaysia: Rising to the Challenges of Orthopaedic Practice in an Evolving Pandemic.	Malays Orthop J
32313588	Chest CT Findings of Early and Progressive Phase COVID-19 Infection from a US Patient.	Radiol Case Rep
32313587	[Management of the COVID-19 epidemic by public health establishments - Analysis by the Federation Hospitaliere de France].	
32313527	[Coronavirus vaccines].	Vacunas
32313516	The Moral Obligation of Nurse Leaders: COVID-19.	Nurse Lead
32313463	2019 novel coronavirus: an emerging global threat.	Proc (Bayl Univ Med Cent)
32313407	COVID-19 Pandemic in India: What Lies Ahead.	Indian J Clin Biochem
32313406	COVID 19 Outbreak: Potential of Biochemistry Speciality.	Indian J Clin Biochem
32313405	"Predicting turning point, duration and attack rate of COVID-19 outbreaks in major Western countries."	Chaos Solitons Fractals
32313383	A Brave New World: Lessons from the COVID-19 Pandemic for Transitioning to Sustainable Supply and Production.	Resour Conserv Recycl
32313382	Can Global Pharmaceutical Supply Chains Scale Up Sustainably for the COVID-19 Crisis?	Resour Conserv Recycl
32313361	Smart technologies for fighting pandemics: The techno- and human- driven approaches in controlling the virus transmission.	Gov Inf Q
32313360	AI governance in the public sector: Three tales from the frontiers of automated decision-making in democratic settings.	Telecomm Policy
32313348	Nosocomial infections in psychiatric hospitals during the new coronavirus pneumonia outbreak.	Eur J Psychiatry
32313309	Education and the COVID-19 pandemic.	Prospects (Paris)
32313308	COVID-19 and the policy sciences: initial reactions and perspectives.	Policy Sci
32313302	[Pregnancy and perinatal outcome of a woman with COVID-19 infection].	Rev Clin Esp
32313296	Identification of Potential Binders of the Main Protease 3CL(pro) of the COVID-19 via Structure-Based Ligand Design and Molecular Modeling.	Chem Phys Lett
32313282	Navigating the Unchartered Waters in the Time of COVID-19.	Am J Pharm Educ
32313229	COVID-19 Q&A: Keeping a cancer core going.	Lab Anim (NY)
32313228	COVID-19 Q&A: Animal care continues.	Lab Anim (NY)
32313215	Prevention and control strategies for the diagnosis and treatment of cancer patients during the COVID-19 pandemic.	Br J Cancer
32313207	Human monoclonal antibodies block the binding of SARS-CoV-2 spike protein to angiotensin converting enzyme 2 receptor.	Cell Mol Immunol
32313188	Nutrition amid the COVID-19 pandemic: a multi-level framework for action.	Eur J Clin Nutr
32313181	"Lessons after the early management of the COVID-19 outbreak in a pediatric transplant and hemato-oncology center embedded within a COVID-19 dedicated hospital in Lombardia, Italy. Estote parati."	Bone Marrow Transplant
32313170	Reorganize and survive-a recommendation for healthcare services affected by COVID-19-the ophthalmology experience.	Eye (Lond)
32313160	Finding motivation in the lighter side of science.	Nature
32313159	Will antibody tests for the coronavirus really change everything?	Nature
32313158	How COVID-19 lockdowns could lead to a kinder research culture.	Nature
32313110	The need for urogenital tract monitoring in COVID-19.	Nat Rev Urol
32312919	Guidelines for the management of surgical departments in non-uniform hospitals during the COVID-19 pandemic.	Pol Przegl Chir
32312892	Adapting to a pandemic - conducting oncology trials during the SARS-CoV-2 pandemic.	Clin Cancer Res
32312873	Neurological manifestations of the coronavirus (SARS-CoV-2) pandemic 2019-2020.	J Neurol Neurosurg Psychiatry
32312872	Neurology in the time of covid-19.	J Neurol Neurosurg Psychiatry
32312864	Association Between Ages and Clinical Characteristics and Outcomes of Coronavirus Disease 2019.	Eur Respir J
32312863	Short-term Outcomes of Coronavirus Disease 2019 and Risk Factors for Progression.	Eur Respir J
32312852	Coronavirus (COVID-19) Pandemic: What the Nuclear Medicine Departments Should Know.	J Nucl Med Technol
32312831	Who should wear a face mask? Experts weigh in on Canada's COVID-19 response.	CMAJ
32312828	Clarifying the role of lung ultrasonography in COVID-19 respiratory disease.	CMAJ
32312827	Lung ultrasonography in a woman with COVID-19: This examination could be remote.	CMAJ
32312799	Neurointervention for emergent large vessel occlusion during the covid-19 pandemic.	J Neurointerv Surg
32312797	COVID-19 and Calcineurin Inhibitors: Should They Get Left Out in the Storm?	J Am Soc Nephrol
32312790	Faecal calprotectin indicates intestinal inflammation in COVID-19.	Gut
32312788	Covid-19 infection in Crohn's disease under treatment with adalimumab.	Gut
32312785	Is ethnicity linked to incidence or outcomes of covid-19?	BMJ
32312781	Nafamostat mesylate blocks activation of SARS-CoV-2: New treatment option for COVID-19.	Antimicrob Agents Chemother
32312768	Rituximab for granulomatosis with polyangiitis in the pandemic of covid-19: lessons from a case with severe pneumonia.	Ann Rheum Dis
32312767	Covid-19 is an opportunity for gender equality within the workplace and at home.	BMJ
32312755	Impact of cancelling foundation year rotations due to the covid-19 outbreak in the UK.	Postgrad Med J
32312738	Contraception in the Era of COVID-19.	Glob Health Sci Pract
32312736	Covid-19: We need to be open about rationing ventilators.	BMJ
32312735	Partha Kar: What will come after the covid-19 crisis?	BMJ
32312734	Covid-19: Experts question guidance to reuse PPE.	BMJ
32312733	"Covid-19, prison crowding, and release policies."	BMJ
32312732	"Covid-19: ""Steady the front line! There is no retreat from here""."	BMJ
32312730	Covid-19: public health experts demand evidence behind UK's short self-isolation advice.	BMJ
32312717	Cytology in the time of coronavirus disease (covid-19): an Italian perspective.	J Clin Pathol
32312715	Managing COVID-19 symptoms (including at the end of life) in the community: summary of NICE guidelines.	BMJ
32312714	"COVID-19 More Frequent, Severe in Cancer Patients."	Cancer Discov
32312710	Covid-19: the precarious position of Spain's nursing homes.	BMJ
32312676	COVID-19 and ENT Pediatric otolaryngology during the COVID-19 pandemic. Guidelines of the French Association of Pediatric Otorhinolaryngology (AFOP) and French Society of Otorhinolaryngology (SFORL).	Eur Ann Otorhinolaryngol Head Neck Dis
32312655	"Navigating ""Down Time"" During COVID-19."	Acad Radiol
32312654	COVID-19 Pulmonary Involvement: Is Really an Interstitial Pneumonia?	Acad Radiol
32312652	Remaining Academically Connected While Socially Distant: Leveraging Technology to Support Dispersed Radiology and Nuclear Medicine Training Programs in the Era of COVID-19.	Acad Radiol
32312646	Physiotherapy management for COVID-19 in the acute hospital setting: clinical practice recommendations.	J Physiother
32312643	Orthopedic surgery post COVID-19: an opportunity for innovation and transformation.	J Shoulder Elbow Surg
32312628	Guillain Barre syndrome associated with COVID-19 infection: A case report.	J Clin Neurosci
32312621	Ethical questions related to Covid-19 and ENT practice.	Eur Ann Otorhinolaryngol Head Neck Dis
32312609	Full Spectrum of Cancer Patients in SARS-CoV-2 Infection Still Being Described.	Clin Oncol (R Coll Radiol)
32312600	Clinical consensus recommendations regarding non-invasive respiratory support in the adult patient with acute respiratory failure secondary to SARS-CoV-2 infection.	Med Intensiva
32312591	Cancer care under the outbreak of COVID-19: A perspective from Italian tertiary referral center for surgical oncology.	Eur J Surg Oncol
32312585	Reducing medical error during a pandemic.	Br J Oral Maxillofac Surg
32312584	Operating during the COVID-19 pandemic: How to reduce medical error.	Br J Oral Maxillofac Surg
32312576	Leveraging existing quality improvement communication strategies during the COVID-19 crisis: Creation of an Emergency Department COVID-19 Case Conference.	Am J Emerg Med
32312575	Chest CT in patients suspected of COVID-19 infection: A reliable alternative for RT-PCR.	Am J Emerg Med
32312574	COVID-19 pneumonia with hemoptysis: Acute segmental pulmonary emboli associated with novel coronavirus infection.	Am J Emerg Med
32312573	Fibreoptic tracheal intubation in COVID-19: not so fast.	Br J Anaesth
32312572	Reducing droplet spread during airway manipulation: lessons from the COVID-19 pandemic in Singapore.	Br J Anaesth
32312571	"Emergency tracheal intubation in 202 patients with COVID-19 in Wuhan, China: lessons learnt and international expert recommendations."	Br J Anaesth
32312570	Extubation barrier drape to minimise droplet spread.	Br J Anaesth
32312569	Sustainable response to the COVID-19 pandemic in the operating theatre: we need more than just personal protective equipment.	Br J Anaesth
32312568	Experience and suggestion of medical practices for burns during the outbreak of COVID-19.	Burns
32312567	[Ensuring mental health care during the SARS-CoV-2 epidemic in France: A narrative review].	Encephale
32312554	Early pulmonary rehabilitation for SARS-CoV-2 pneumonia: Experience from an intensive care unit outside of the Hubei province in China.	Heart Lung
32312544	Advice Regarding Systemic Therapy in Patients with Urological Cancers During the COVID-19 Pandemic.	Eur Urol
32312528	"Early reflection on the global impact of COVID19, and implications for physiotherapy."	Physiotherapy
32312491	Medication Shortages During the COVID-19 Crisis: What We Must Do.	Mayo Clin Proc
32312477	Elective surgery in the time of COVID-19.	Am J Surg
32312365	[Research advances in cardiovascular system damage caused by SARS-CoV-2 in children].	Zhongguo Dang Dai Er Ke Za Zhi
32312364	"[Clinical features of children with SARS-CoV-2 infection: an analysis of 13 cases from Changsha, China]."	Zhongguo Dang Dai Er Ke Za Zhi
32312363	[Clinical features of children with SARS-CoV-2 infection: an analysis of 115 cases].	Zhongguo Dang Dai Er Ke Za Zhi
32312362	[Recommendations on the identification and transfer of children with critical diabetes during the COVID-19 outbreak].	Zhongguo Dang Dai Er Ke Za Zhi
32312359	Redistributing of Working Schedules by the Infective Principle - Will The COVID-19 Pandemic Finally Make Us Remember the Names of People We Shake Hands With?	Infect Control Hosp Epidemiol
32312355	"Report from the COVID-19 Virtual Summit, Disaster Experts Speak Out, March 31, 2020."	Prehosp Disaster Med
32312338	Detroit Under Siege: The Enemy Within: The impact of the Covid-19 Collision.	Infect Control Hosp Epidemiol
32312290	Salvage use of tissue plasminogen activator (tPA) in the setting of acute respiratory distress syndrome (ARDS) due to COVID-19 in the USA: a Markov decision analysis.	World J Emerg Surg
32312176	Peritoneal Dialysis in the time of COVID-19.	Perit Dial Int
32312166	Flexible Laryngoscopy and COVID-19.	Otolaryngol Head Neck Surg
