pmid	title	journal
32259373	Cytologic and histologic samples from patients infected by the novel coronavirus 2019 SARS-CoV-2: An italian institutional experience focusing on biosafety procedures.	Cancer Cytopathol
32259337	Impact of the COVID-19 pandemic on surgical services: early experiences at a nominated COVID-19 centre.	ANZ J Surg
32259325	Strengthening the Power of Nurses in Combating COVID-19.	J Nurs Manag
32259322	Clinical Characteristics of COVID-19 After Gynecologic Oncology Surgery in Three Women: A Retrospective Review of Medical Records.	Oncologist
32259313	Review of Emerging Pharmacotherapy for the Treatment of Coronavirus Disease 2019.	Pharmacotherapy
32259288	Caring for patients with pain during the COVID-19 pandemic: Consensus recommendations from an international expert panel.	Anaesthesia
32259279	Maternal and Perinatal Outcomes with COVID-19: a systematic review of 108 pregnancies.	Acta Obstet Gynecol Scand
32259247	Pain Management Best Practices from Multispecialty Organizations during the COVID-19 Pandemic and Public Health Crises.	Pain Med
32259197	Locally Informed Simulation to Predict Hospital Capacity Needs During the COVID-19 Pandemic.	Ann Intern Med
32259195	Intersecting U.S. Epidemics: COVID-19 and Lack of Health Insurance.	Ann Intern Med
32259194	The Role of Medical Students During the COVID-19 Pandemic.	Ann Intern Med
32259193	Understanding and Addressing Sources of Anxiety Among Health Care Professionals During the COVID-19 Pandemic.	JAMA
32259192	US Public Concerns About the COVID-19 Pandemic From Results of a Survey Given via Social Media.	JAMA Intern Med
32259191	Fighting COVID-19: Enabling Graduating Students to Start Internship Early at Their Own Medical School.	Ann Intern Med
32259190	What Other Countries Can Learn From Italy During the COVID-19 Pandemic.	JAMA Intern Med
32259189	The Challenge of Preventing COVID-19 Spread in Correctional Facilities.	JAMA
32259155	Covid 19 pandemic and gynaecological laparoscopic surgery: knowns and unknowns.	Facts Views Vis Obgyn
32259132	Laboratory Parameters in Detection of COVID-19 Patients with Positive RT-PCR; a Diagnostic Accuracy Study.	Arch Acad Emerg Med
32259130	Epidemiological and Clinical Aspects of COVID-19; a Narrative Review.	Arch Acad Emerg Med
32259129	Metronidazole; a Potential Novel Addition to the COVID-19 Treatment Regimen.	Arch Acad Emerg Med
32259127	"Daily Situation Report on Coronavirus disease (COVID-19) in Iran; March 25, 2020."	Arch Acad Emerg Med
32259126	"Daily Situation Report on Coronavirus disease (COVID-19) in Iran; March 23, 2020."	Arch Acad Emerg Med
32259124	"Daily Situation Report on Coronavirus disease (COVID-19) in Iran; March 22, 2020."	Arch Acad Emerg Med
32259123	"Daily Situation Report on Coronavirus disease (COVID-19) in Iran; March 17, 2020."	Arch Acad Emerg Med
32259121	"Daily Situation Report on Coronavirus disease (COVID-19) in Iran; March 16, 2020."	Arch Acad Emerg Med
32259120	"Daily Situation Report on Coronavirus disease (COVID-19) in Iran; March 15, 2020."	Arch Acad Emerg Med
32259119	"Daily Situation Report on Coronavirus disease (COVID-19) in Iran; March 14, 2020."	Arch Acad Emerg Med
32259028	New threat: 2019 novel Coronavirus infection and infection control perspective in Turkey.	North Clin Istanb
32259011	Editorial.	Ultrasound Int Open
32258434	COVID-19 in Turkey: An urgent need for the implementation of preparedness and response strategies.	Health Sci Rep
32258351	Current knowledge about the antivirals remdesivir (GS-5734) and GS-441524 as therapeutic options for coronaviruses.	One Health
32258207	High-Dose Intravenous Immunoglobulin as a Therapeutic Option for Deteriorating Patients With Coronavirus Disease 2019.	Open Forum Infect Dis
32257774	"Coronavirus Disease-19: The First 7,755 Cases in the Republic of Korea."	Osong Public Health Res Perspect
32257773	"Coronavirus Disease-19: Summary of 2,370 Contact Investigations of the First 30 Cases in the Republic of Korea."	Osong Public Health Res Perspect
32257772	Cross-Country Comparison of Case Fatality Rates of COVID-19/SARS-COV-2.	Osong Public Health Res Perspect
32257771	KCDC Risk Assessments on the Initial Phase of the COVID-19 Outbreak in Korea.	Osong Public Health Res Perspect
32257730	COVID-19: Emergency Medicine Physician Empowered to Shape Perspectives on This Public Health Crisis.	Cureus
32257728	"Coronavirus Disease (COVID-19) and Pediatric Patients: A Review of Epidemiology, Symptomatology, Laboratory and Imaging Results to Guide the Development of a Management Algorithm."	Cureus
32257554	Mesenchymal Stem Cell Infusion Shows Promise for Combating Coronavirus (COVID-19)- Induced Pneumonia.	Aging Dis
32257537	Transplantation of ACE2(-) Mesenchymal Stem Cells Improves the Outcome of Patients with COVID-19 Pneumonia.	Aging Dis
32257511	COVID-19 Pandemic: Public Health Implications in Nepal.	Nepal J Epidemiol
32257431	"COVID-19 infection: Origin, transmission, and characteristics of human coronaviruses."	J Adv Res
32257174	When will the battle against novel coronavirus end in Wuhan: A SEIR modeling analysis.	J Glob Health
32257173	An evidence-based framework for priority clinical research questions for COVID-19.	J Glob Health
32257150	A cascade of causes that led to the COVID-19 tragedy in Italy and in other European Union countries.	J Glob Health
32257058	Contributions and challenges of general practitioners in China fighting against the novel coronavirus crisis.	Fam Med Community Health
32256706	COVID-19 and treatment with NSAIDs and corticosteroids: should we be limiting their use in the clinical setting?	Ecancermedicalscience
32256705	Associations between immune-suppressive and stimulating drugs and novel COVID-19-a systematic review of current evidence.	Ecancermedicalscience
32256547	Clinical trials on drug repositioning for COVID-19 treatment.	Rev Panam Salud Publica
32255761	High Contagiousness and Rapid Spread of Severe Acute Respiratory Syndrome Coronavirus 2.	Emerg Infect Dis
32255735	Role and Management of a Head and Neck Department during the COVID-19 Outbreak in Lombardy.	Otolaryngol Head Neck Surg
32255713	Maxillofacial Trauma Management During COVID-19: Multidisciplinary Recommendations.	Facial Plast Surg Aesthet Med
32255684	Vascular Changes Detected With Thoracic CT in Coronavirus Disease (COVID-19) Might Be Significant Determinants for Accurate Diagnosis and Optimal Patient Management.	AJR Am J Roentgenol
32255683	Clinical Features and Chest CT Manifestations of Coronavirus Disease (COVID-19).	AJR Am J Roentgenol
32255661	Code Blue During the COVID-19 Pandemic.	Circ Cardiovasc Qual Outcomes
32255660	Leading the Compassionate Charge.	Circ Heart Fail
32255659	Science in the Time of Coronavirus.	Circ Heart Fail
32255648	A Community Letter Regarding Sharing Bimolecular Simulation Data for COVID-19.	J Chem Inf Model
32255567	Informing Emergency Care for COVID-19 patients: The COVID-19 Emergency Department (COVED) Quality Improvement Project Protocol.	Emerg Med Australas
32255564	A warm welcome to our new editors.	FEBS Open Bio
32255535	ISUOG Safety Committee Position Statement on use of personal protective equipment and hazard mitigation in relation to SARS-CoV-2 for practitioners undertaking obstetric and gynecological ultrasound.	Ultrasound Obstet Gynecol
32255510	COVID-19 and the use of immunomodulatory and biologic agents for severe cutaneous disease: An Australia/New Zealand consensus statement.	Australas J Dermatol
32255507	COVID-19 And Older Adults: What We Know.	J Am Geriatr Soc
32255497	COVID-19 and Iran: swimming with hands tied!	Swiss Med Wkly
32255491	ACE2 the Janus-faced protein - from cardiovascular protection to severe acute respiratory syndrome-coronavirus and COVID-19.	Clin Sci (Lond)
32255489	Towards Optimization of Hydroxychloroquine Dosing in Intensive Care Unit COVID-19 Patients.	Clin Infect Dis
32255483	Before the Flood.	Clin Infect Dis
32255477	Strategies to control COVID-19 and future pandemics in Africa and around the globe.	Eur Heart J
32255476	"COVID-19 experience in Bergamo, Italy."	Eur Heart J
32255475	Denominator matters in estimating COVID-19 mortality rates.	Eur Heart J
32255438	Evidence synthesis relevant to COVID-19: a protocol for multiple systematic reviews and overviews of systematic reviews.	Medwave
32255437	Radiographic and Clinical Features of Children with 2019 Novel Coronavirus (COVID-19) Pneumonia.	Indian Pediatr
32255436	Challenging Times for Children With Transfusion-dependent Thalassemia Amid the COVID-19 Pandemic.	Indian Pediatr
32255413	The Role of Chest Imaging in Patient Management during the COVID-19 Pandemic: A Multinational Consensus Statement from the Fleischner Society.	Radiology
32255383	"Biological treatment use amid the COVID-19 era, a close look at the unresolved perplexity."	J Dermatolog Treat
32255382	"Hospitalization and Critical Care of 109 Decedents with COVID-19 Pneumonia in Wuhan, China."	Ann Am Thorac Soc
32255370	NYC Innocence Lost: Cardiology in the COVID-19 Pandemic.	Circulation
32255359	ANNALS EXPRESS: On the Clinical Utility of Cardiac Troponin measurement in COVID-19 Infection.	Ann Clin Biochem
32255312	A possible probiotic (S. salivarius K12) approach to improve oral and lung microbiotas and raise defenses against SARS-CoV-2.	Minerva Med
32255222	Work stress among Chinese nurses to support Wuhan for fighting against the COVID-19 epidemic.	J Nurs Manag
32255197	Adverse Skin Reactions Among Healthcare Workers During the Coronavirus Disease 2019 Outbreak: A Survey in Wuhan and Its Surrounding Regions.	Br J Dermatol
32255183	"Lockdown contained the spread of 2019 novel coronavirus disease in Huangshi city, China: Early epidemiological findings."	Clin Infect Dis
32254064	Deployment of convalescent plasma for the prevention and treatment of COVID-19.	J Clin Invest
32254054	Visualizing an unseen enemy; mobilizing structural biology to counter COVID-19.	Acta Crystallogr D Struct Biol
32254048	Visualizing an unseen enemy; mobilizing structural biology to counter COVID-19.	Acta Crystallogr F Struct Biol Commun
32253942	Facing COVID-19 in Ophthalmology department.	Curr Eye Res
32253891	[Consideration of surgeons participating in COVID-19 emergency medical rescue].	Zhonghua Wai Ke Za Zhi
32253890	[Thoughts on the reform of preventive medicine education in the context of new medicine].	Zhonghua Yu Fang Yi Xue Za Zhi
32253888	Coronavirus COV-19/SARS-CoV-2 affects women less than men: clinical response to viral infection.	J Biol Regul Homeost Agents
32253799	Generalized Pustular Figurate Erythema A Newly Delineated Severe Cutaneous Drug Reaction Linked with Hydroxychloroquine.	Dermatol Ther
32253771	Daily medical education for confined students during COVID-19 pandemic: a simple videoconference solution.	Clin Anat
32253759	Tocilizumab treatment in COVID-19: a single center experience.	J Med Virol
32253754	Special issues on using the MoCA for remote assessment during COVID-19 2.	J Am Geriatr Soc
32253680	The COVID-19 pandemic requires a unified global response.	Endocrine
32253535	Olfactory and gustatory dysfunctions as a clinical presentation of mild-to-moderate forms of the coronavirus disease (COVID-19): a multicenter European study.	Eur Arch Otorhinolaryngol
32253484	[Coronavirus disease 2019 : More safety through compact facts and recommendantions for action].	Anaesthesist
32253449	"Correction to: Clinical predictors of mortality due to COVID-19 based on an analysis of data of 150 patients from Wuhan, China."	Intensive Care Med
32253448	Clinicolaboratory study of 25 fatal cases of COVID-19 in Wuhan.	Intensive Care Med
32253400	Flavonoids isolated from loquat (Eriobotrya japonica) leaves inhibit oxidative stress and inflammation induced by cigarette smoke in COPD mice: the role of TRPV1 signaling pathways.	Food Funct
32253375	Nutritional management in hospital setting during SARS-CoV-2 pandemic: a real-life experience.	Eur J Clin Nutr
32253371	Impact of the COVID-19 pandemic on urology residency training in Italy.	Minerva Urol Nefrol
32253352	Preparing a neurology department for SARS-CoV-2 (COVID-19): Early experiences at Columbia University Irving Medical Center and the New York Presbyterian Hospital in New York City.	Neurology
32253351	Ethics in the time of COVID: What remains the same and what is different.	Neurology
32253325	Journal Flexibility in the Troubling Times of COVID-19.	Plant Physiol
32253318	Effectiveness of convalescent plasma therapy in severe COVID-19 patients.	Proc Natl Acad Sci U S A
32253252	Covid-19 pandemic: a public and global mental health opportunity for social transformation?	BMJ
32253251	Lessons from covid-19: visiting patients at home and assessing comorbidities.	BMJ
32253226	An orally bioavailable broad-spectrum antiviral inhibits SARS-CoV-2 in human airway epithelial cell cultures and multiple coronaviruses in mice.	Sci Transl Med
32253225	Covid-19: NICE advises against using NSAIDs for fever in patients with suspected cases.	BMJ
32253224	Supporting colleagues during covid-19: the intensive care consultant.	BMJ
32253201	"Breast feeding at the time of COVID-19: do not forget expressed mother's milk, please."	Arch Dis Child Fetal Neonatal Ed
32253197	Cardiopulmonary resuscitation after hospital admission with covid-19.	BMJ
32253182	Social distancing in covid-19: what are the mental health implications?	BMJ
32253181	Covid-19: UK government writes off pound13.4bn of hospital debts to ease pressures.	BMJ
32253180	Health surveillance during covid-19 pandemic.	BMJ
32253179	"Covid-19: Don't apply advance care plans to groups of people, doctors' leaders warn."	BMJ
32253178	Covid-19 and the rise of racism.	BMJ
32253177	Seattle's covid-19 lessons are yielding hope.	BMJ
32253175	Covid-19: A&E visits in England fall by 25% in week after lockdown.	BMJ
32253172	Hepatic and gastrointestinal involvement in coronavirus disease 2019 (COVID-19): What do we know till now?	Arab J Gastroenterol
32253163	The occurrence of diarrhea in COVID-19 patients.	Clin Res Hepatol Gastroenterol
32253143	COVID 19 in INDIA: Strategies to combat from combination threat of life and livelihood.	J Microbiol Immunol Infect
32253133	Using Technology to Maintain the Education of Residents During the COVID-19 Pandemic.	J Surg Educ
32253132	"The impending storm: COVID-19, pandemics and our overwhelmed emergency departments."	Am J Emerg Med
32253113	COVID-19: Yet another coronavirus challenge in transplantation.	J Heart Lung Transplant
32253110	Introduction to the special issue: Tumor antigens in the time of the coronavirus pandemic.	Semin Immunol
32253068	Recommendations for coronavirus infection in rheumatic diseases treated with biologic therapy.	J Autoimmun
32253003	COVID-19 virus and children: What do we know?	Arch Pediatr
32252979	Surgical Management of Patients With COVID-19 Infection. Recommendations of the Spanish Association of Surgeons.	Cir Esp
32252978	Suspected acute abdomen as an extrapulmonary manifestation of Covid-19 infection.	Cir Esp
32252856	Is there a guarantee that the crisis of Covid-19 will not be repeated?	Disaster Med Public Health Prep
32252855	Alert for SARS-CoV-2 infection caused by fecal aerosols in rural areas in China.	Infect Control Hosp Epidemiol
32252849	COVID-19: From Epidemic to Pandemic.	Disaster Med Public Health Prep
32252845	Adaptation of the National Plan for the Prevention and Fight Against Pandemic Influenza to the 2020 COVID-19 epidemic in France.	Disaster Med Public Health Prep
32252837	SARS-CoV-2: the Lombardy scenario in numbers.	Infect Control Hosp Epidemiol
32252784	CT imaging changes of corona virus disease 2019(COVID-19): a multi-center study in Southwest China.	J Transl Med
32252591	COVID-19 and the Heart.	Circ Res
32252508	Sharing Our Experience of Operating an Endoscopy Unit in the Midst of a COVID-19 Outbreak.	Clin Endosc
32252338	Evidence that Vitamin D Supplementation Could Reduce Risk of Influenza and COVID-19 Infections and Deaths.	Nutrients
32252179	COVID-19.	Int Neurourol J
32252141	"Epidemiology, virology, and clinical features of severe acute respiratory syndrome -coronavirus-2 (SARS-CoV-2; Coronavirus Disease-19)."	Clin Exp Pediatr
32252139	Epidemiology and Clinical Features of Coronavirus disease 2019 in Children.	Clin Exp Pediatr
32252092	Annals Graphic Medicine - Morning Thoughts on Day 7 of COVID-19 Social Isolation.	Ann Intern Med
32252058	Psychosomatic Medicine and Covid-19 Pandemic.	Psychother Psychosom
32252023	Interpreting COVID-19 and Virtual Care Trends: A Call for Action.	JMIR Public Health Surveill
32251934	Acute leukemia in the time of COVID-19.	Leuk Res
32251848	Residency and Fellowship Program Accreditation: Effects of the Novel Coronavirus (COVID-19) Pandemic.	J Am Coll Surg
32251842	Clinical characteristics of non-critically ill patients with novel coronavirus infection (COVID-19) in a Fangcang Hospital.	Clin Microbiol Infect
32251839	Perspectives on Surgery in the time of COVID-19: Safety First.	J Minim Invasive Gynecol
32251805	"Clinical characteristics of 25 death cases with COVID-19: a retrospective review of medical records in a single medical center, Wuhan, China."	Int J Infect Dis
32251798	Diagnostic value and dynamic variance of serum antibody in coronavirus disease 2019.	Int J Infect Dis
32251796	The enlightenment from two cases of asymptomatic infection with SARS-CoV-2: is it safe after 14 days of isolation?	Int J Infect Dis
32251794	Extracorporeal membrane oxygenation (ECMO): does it have a role in the treatment of severe COVID-19?	Int J Infect Dis
32251791	A first Case of Meningitis/Encephalitis associated with SARS-Coronavirus-2.	Int J Infect Dis
32251790	Severe Acute Respiratory Syndrome (SARS) and Coronavirus disease-2019 (COVID-19): From Causes to Preventions in Hong Kong.	Int J Infect Dis
32251789	Spatial epidemic dynamics of the COVID-19 outbreak in China.	Int J Infect Dis
32251768	The FDA-approved Drug Ivermectin inhibits the replication of SARS-CoV-2 in vitro.	Antiviral Res
32251767	"Remdesivir, lopinavir, emetine, and homoharringtonine inhibit SARS-CoV-2 replication in vitro."	Antiviral Res
32251732	Perspectives: Potential Therapeutic Options for SARS-CoV-2 Patients Based on Feline Infectious Peritonitis Strategies: Central Nervous System Invasion and Drug Coverage.	Int J Antimicrob Agents
32251731	Structural and molecular modeling studies reveal a new mechanism of action of chloroquine and hydroxychloroquine against SARS-CoV-2 infection.	Int J Antimicrob Agents
32251729	The GReek study in the Effects of Colchicine in COvid-19 complications prevention (GRECCO-19 study): rationale and study design.	Hellenic J Cardiol
32251726	The use of Traditional Chinese Medicines to treat SARS-CoV-2 may cause more harm than good.	Pharmacol Res
32251725	"Reply to ""The use of traditional Chinese medicines to treat SARS-CoV-2 may cause more harm than good""."	Pharmacol Res
32251718	ACE2 at the centre of COVID-19 from paucisymptomatic infections to severe pneumonia.	Autoimmun Rev
32251717	Interleukin-6 use in COVID-19 pneumonia related macrophage activation syndrome.	Autoimmun Rev
32251716	What is the role of rheumatologists in the era of COVID-19?	Autoimmun Rev
32251688	China empowers Internet hospital to fight against COVID-19.	J Infect
32251668	Gastrointestinal Manifestations of SARS-CoV-2 Infection and Virus Load in Fecal Samples from the Hong Kong Cohort and Systematic Review and Meta-analysis.	Gastroenterology
32251649	COVID-19 Pandemic: Staged Management of Surgical Services for Gynecology and Obstetrics.	Am J Obstet Gynecol
32251644	A planetary health perspective on COVID-19: a call for papers.	Lancet Planet Health
32251639	Baricitinib for COVID-19: a suitable treatment? - Authors' reply.	Lancet Infect Dis
32251638	Baricitinib for COVID-19: a suitable treatment?	Lancet Infect Dis
32251637	From China: hope and lessons for COVID-19 control.	Lancet Infect Dis
32251634	Virtual screening and repurposing of FDA approved drugs against COVID-19 main protease.	Life Sci
32251626	Impact of school closures for COVID-19 on the US health-care workforce and net mortality: a modelling study.	Lancet Public Health
32251625	Do chronic respiratory diseases or their treatment affect the risk of SARS-CoV-2 infection?	Lancet Respir Med
32251623	Preparedness for COVID-19 in the oncology community in Africa.	Lancet Oncol
32251622	Preparing African anticancer centres in the COVID-19 outbreak.	Lancet Oncol
32251619	Urgent dental care for patients during the COVID-19 pandemic.	Lancet
32251618	Current Drugs with Potential for Treatment of COVID-19: A Literature Review.	J Pharm Pharm Sci
32251612	High-Sensitivity Cardiac Troponin Can Be An Ally in the Fight Against COVID-19.	Circulation
32251568	Covid-19 in South Korea - Challenges of Subclinical Manifestations.	N Engl J Med
32251546	Triage Considerations for Patients Referred for Structural Heart Disease Intervention During the Coronavirus Disease 2019 (COVID-19) Pandemic: An ACC /SCAI Consensus Statement.	Catheter Cardiovasc Interv
32251543	The COVID-19 (Coronavirus) Pandemic: Reflections on the Roles of Librarians and Information Professionals.	Health Info Libr J
32251539	COVID-19 and liver disease.	Liver Int
32251513	Psychological Impact of the COVID-19 Pandemic on Health Care Workers in Singapore.	Ann Intern Med
32251512	COVID-19: Peer Support and Crisis Communication Strategies to Promote Institutional Resilience.	Ann Intern Med
32251511	Effectiveness of Surgical and Cotton Masks in Blocking SARS-CoV-2: A Controlled Comparison in 4 Patients.	Ann Intern Med
32251498	Hypertension and COVID-19.	Am J Hypertens
32251408	A Word from OLAW: COVID-19 guidance.	Lab Anim (NY)
32251365	Considering mutational meltdown as a potential SARS-CoV-2 treatment strategy.	Heredity (Edinb)
32251203	Managing patients with chronic pain during the Covid-19 outbreak: considerations for the rapid introduction of remotely supported (e-health) pain management services.	Pain
32251148	"COVID-19 in the Nuclear Medicine Department, be prepared for ventilation scans as well!"	Nucl Med Commun
32251144	Prioritizing Access to Surgical Care During the Coronavirus Pandemic.	Dis Colon Rectum
32251143	Mesenchymal Stem Cell Therapy Can Transcend Perianal Crohn's Disease: How Colorectal Surgeons Can Help in the COVID-19 Crisis.	Dis Colon Rectum
32251136	COVID-19 Pandemic and JBJS.	J Bone Joint Surg Am
32251003	Lung transplantation as therapeutic option in acute respiratory distress syndrome for COVID-19-related pulmonary fibrosis.	Chin Med J (Engl)
32251002	Recommendations for respiratory rehabilitation in adults with COVID-19.	Chin Med J (Engl)
32250979	Oral and nasal decontamination for COVID-19 patients: more harm than good?	Anesth Analg
32250978	Importance of oral and nasal decontamination for patients undergoing anesthetics during the COVID-19 era.	Anesth Analg
32250977	Your COVID-19 Intubation Kit.	Anesth Analg
32250968	Kidney diseases in the time of COVID-19: major challenges to patient care.	J Clin Invest
32250965	Are UK doctors getting sufficient protective equipment against covid-19?	BMJ
32250963	Population-Level Interest and Telehealth Capacity of US Hospitals in Response to COVID-19: Cross-Sectional Analysis of Google Search and National Hospital Survey Data.	JMIR Public Health Surveill
32250962	Internet hospitals help prevent and control the epidemic of COVID-19 in China: a multicenter user profiling study.	J Med Internet Res
32250961	COVID-19 Related Misinformation on Social Media: A Qualitative Study from Iran.	J Med Internet Res
32250960	COVID- 19 misinformation on the internet: The other epidemy.	JMIR Public Health Surveill
32250959	"Dentists' awareness, perception, and attitude regarding COVID-19 and infection control: A cross-sectional study among Jordanian dentists."	JMIR Public Health Surveill
32250958	Utilization of a mobile platform for the dissemination of validated institutional measurements during CoVid-19 Outbreak: A practical example in the Children's Hospital.	JMIR Public Health Surveill
32250957	Tracking COVID-19 in Europe: An Infodemiology Study.	JMIR Public Health Surveill
32250751	Triage Considerations for Patients Referred for Structural Heart Disease Intervention During the Coronavirus Disease 2019 (COVID-19) Pandemic: An ACC /SCAI Consensus Statement.	JACC Cardiovasc Interv
32250659	COVID-19 and Cancer: Lessons From a Pooled Meta-Analysis.	JCO Glob Oncol
32250655	"Call to Action: Announcing the Traditional, Complementary and Integrative Health and Medicine COVID-19 Support Registry."	J Altern Complement Med
32250654	Protecting Medical Trainees on the COVID-19 Frontlines Saves Us All.	Circulation
32250505	Coronavirus Disease (COVID-19): Characteristics in children and considerations for Dentists providing their care.	Int J Paediatr Dent
32250493	Life in the pandemic: Social isolation and mental health.	J Clin Nurs
32250482	Mitigating and learning from the impact of COVID-19 infection on addictive disorders.	Addiction
32250468	Editorial: MOVEMENT DISORDERS IN THE WORLD OF COVID-19.	Mov Disord
32250460	Impact of the COVID-19 pandemic on Parkinson's disease and movement disorders.	Mov Disord
32250417	Emergency Restructuring of a General Surgery Residency Program During the Coronavirus Disease 2019 Pandemic: The University of Washington Experience.	JAMA Surg
32250408	Critical Illness in Patients With COVID-19: Mounting an Effective Clinical and Research Response.	JAMA
32250394	Sample Pooling as a Strategy to Detect Community Transmission of SARS-CoV-2.	JAMA
32250388	The COVID-19 Pandemic in the US: A Clinical Update.	JAMA
32250385	"Baseline Characteristics and Outcomes of 1591 Patients Infected With SARS-CoV-2 Admitted to ICUs of the Lombardy Region, Italy."	JAMA
32250347	[Consensus Report from Turkish Society of Cardiology: COVID-19 and Cardiovascular Diseases. What cardiologists should know. (25th March 2020)].	Turk Kardiyol Dern Ars
32250324	The Impact of the COVID-19 Pandemic on Parkinson's Disease: Hidden Sorrows and Emerging Opportunities.	J Parkinsons Dis
32250283	Novel Coronavirus in Cape Town Informal Settlements: Feasibility of Using Informal Dwelling Outlines to Identify High Risk Areas for COVID-19 Transmission From A Social Distancing Perspective.	JMIR Public Health Surveill
32250281	Conducting Clinical Research During the COVID-19 Pandemic: Investigator and Participant Perspectives.	JMIR Public Health Surveill
32250244	Potential harmful effects of discontinuing ACE-inhibitors and ARBs in COVID-19 patients.	Elife
32250235	A global needs assessment in times of a global crisis: world psychiatry response to the COVID-19 pandemic.	BJPsych Open
32250193	Coronavirus Disease 2019 (COVID-19): Considerations for the Competitive Athlete.	Sports Health
32250170	Will plant-made biopharmaceuticals play a role in the fight against COVID-19?	Expert Opin Biol Ther
32250159	Hemorrhagic Problem Among the Patients With COVID-19: Clinical Summary of 41 Thai Infected Patients.	Clin Appl Thromb Hemost
32250095	Severe course of COVID-19 in a middle-aged man without risk factors.	Pol Arch Intern Med
32250094	"Gastrointestinal symptoms as the first, atypical indication of SARS-CoV-2 infection."	Pol Arch Intern Med
32250049	COVID-19 infection in a paucisymptomatic infant: Raising the index of suspicion in epidemic settings.	Pediatr Pulmonol
32249956	Structural Variations in Human ACE2 may Influence its Binding with SARS-CoV-2 Spike Protein.	J Med Virol
32249952	An Analysis of Spatiotemporal Pattern for COIVD-19 in China based on Space-Time Cube.	J Med Virol
32249944	About the origin of the first two Sars-CoV-2 infections in Italy: inference not supported by appropriate sequence analysis.	J Med Virol
32249943	A comparative-descriptive analysis of clinical characteristics in 2019-Coronavirus-infected children and adults.	J Med Virol
32249924	COVID-19 in pregnancy with comorbidities: More liberal testing strategy is needed.	Acta Obstet Gynecol Scand
32249918	Maternal and neonatal outcomes of pregnant women with COVID-19 pneumonia: a case-control study.	Clin Infect Dis
32249847	In the eye of the COVID-19 cytokine storm.	Nat Rev Immunol
32249846	Dysregulation of lung myeloid cells in COVID-19.	Nat Rev Immunol
32249845	Fighting COVID-19 exhausts T cells.	Nat Rev Immunol
32249840	Minimizing the risk of COVID-19 among patients on dialysis.	Nat Rev Nephrol
32249715	Recommendations for Tiered Stratification of Urologic Surgery Urgency in the COVID-19 Era.	J Urol
32249681	Triaging Office-Based Urologic Procedures During the COVID-19 Pandemic.	J Urol
32249678	Implementing Telemedicine in Response to the 2020 COVID-19 Pandemic.	J Urol
32249664	"Focus on the ""Crosstalk"" Between COVID-19 and Urogenital Systems."	J Urol
32249660	The Effects of COVID-19 on Academic Activities and Surgical Education in Italy.	J Invest Surg
32249538	COVID-19 and Urology: A Comprehensive Review of the Literature.	BJU Int
32249471	Lung ultrasound and computed tomographic findings in pregnant woman with COVID-19.	Ultrasound Obstet Gynecol
32249362	"COVID-19 Pandemic, a War to be Won: Understanding its Economic Implications for Africa."	Appl Health Econ Health Policy
32249361	A Simple Decision Analysis of a Mandatory Lockdown Response to the COVID-19 Pandemic.	Appl Health Econ Health Policy
